symbol,coinbase_pair,start_date,end_date,days_covered,data_age_group,market_cap,market_cap_rank,market_cap_tier,categories,crypto_family,category_list,family_list,notes,consolidated_categories_list,consolidated_categories
TURBO,TURBO-USD,12/11/2024 18:00,7/30/2025 3:00,231,New,330572289,115,Small Cap,Meme,Ethereum,['Meme'],['Ethereum'],,['Meme & Community Tokens'],Meme & Community Tokens
POPCAT,POPCAT-USD,2/13/2025 17:00,7/30/2025 3:00,167,New,326853400,116,Small Cap,Meme,Solana,['Meme'],['Solana'],,['Meme & Community Tokens'],Meme & Community Tokens
LPT,LPT-USD,6/24/2021 16:00,7/30/2025 2:00,1497,Established,305484785,117,Small Cap,"Streaming, Video",Ethereum,"['Streaming', 'Video']",['Ethereum'],,['Other / Specialized'],Other / Specialized
KAITO,KAITO-USD,2/20/2025 18:00,7/30/2025 2:00,160,New,298509389,118,Small Cap,"AI, Analytics",Ethereum,"['AI', 'Analytics']",['Ethereum'],,"['Infrastructure & Data', 'AI & Big Data']","Infrastructure & Data, AI & Big Data"
ABT,ABT-USD,7/21/2022 17:00,7/30/2025 0:00,1105,Established,289667479,119,Small Cap,Gaming,Ethereum,['Gaming'],['Ethereum'],,['Gaming & Metaverse'],Gaming & Metaverse
SAFE,SAFE-USD,4/23/2024 18:00,7/30/2025 3:00,463,New,288284613,120,Small Cap,"Security, Wallet",Ethereum,"['Security', 'Wallet']",['Ethereum'],,['Privacy & Security'],Privacy & Security
DASH,DASH-USD,9/17/2019 16:00,7/30/2025 1:00,2143,Legacy,279656593,121,Small Cap,"Payments, Privacy",Independent,"['Payments', 'Privacy']",['Independent'],,"['Privacy & Security', 'Payments & Commerce']","Privacy & Security, Payments & Commerce"
VELO,VELO-USD,2/6/2024 17:00,7/30/2025 3:00,540,New,278951227,122,Small Cap,"Remittances, Payments",Stellar,"['Remittances', 'Payments']",['Stellar'],,['Payments & Commerce'],Payments & Commerce
GLM,GLM-USD,3/9/2022 0:00,7/30/2025 1:00,1240,Established,273252516,123,Small Cap,"Computing, Marketplace",Ethereum,"['Computing', 'Marketplace']",['Ethereum'],,['AI & Big Data'],AI & Big Data
PNUT,PNUT-USD,1/14/2025 17:00,7/30/2025 3:00,197,New,256293562,124,Small Cap,DeFi,Unknown,['DeFi'],['Unknown'],,['DeFi'],DeFi
KSM,KSM-USD,6/2/2022 16:00,7/30/2025 2:00,1154,Established,252856241,125,Small Cap,"Blockchain, Parachain",Polkadot,"['Blockchain', 'Parachain']",['Polkadot'],,"['Layer 1 Blockchains', 'Layer 2 / Scaling']","Layer 1 Blockchains, Layer 2 / Scaling"
MINA,MINA-USD,4/6/2022 16:00,7/30/2025 2:00,1211,Established,248259235,126,Small Cap,"Blockchain, Privacy",Independent,"['Blockchain', 'Privacy']",['Independent'],,"['Layer 1 Blockchains', 'Privacy & Security']","Layer 1 Blockchains, Privacy & Security"
ZORA,ZORA-USD,4/24/2025 20:00,7/30/2025 4:00,97,New,246592349,127,Small Cap,"NFT, Marketplace",Ethereum,"['NFT', 'Marketplace']",['Ethereum'],,['NFTs & Digital Collectibles'],NFTs & Digital Collectibles
BERA,BERA-USD,2/6/2025 20:00,7/30/2025 0:00,174,New,243626405,128,Small Cap,"Layer-1, DeFi", (Cosmos),"['Layer-1', 'DeFi']",['(Cosmos)'],,"['Layer 1 Blockchains', 'DeFi']","Layer 1 Blockchains, DeFi"
ARKM,ARKM-USD,4/2/2024 16:00,7/30/2025 0:00,484,New,238664309,129,Small Cap,"Analytics, Intelligence",Ethereum,"['Analytics', 'Intelligence']",['Ethereum'],,['Infrastructure & Data'],Infrastructure & Data
BAT,BAT-USD,4/20/2021 16:00,7/30/2025 0:00,1562,Established,236938236,130,Small Cap,"Advertising, Browser",Ethereum,"['Advertising', 'Browser']",['Ethereum'],,['Other / Specialized'],Other / Specialized
TOSHI,TOSHI-USD,1/23/2025 17:00,7/30/2025 3:00,188,New,235717013,131,Small Cap,"Tools, Analytics",Ethereum,"['Tools', 'Analytics']",['Ethereum'],,['Infrastructure & Data'],Infrastructure & Data
SNX,SNX-USD,12/15/2020 17:00,7/30/2025 3:00,1688,Established,234097660,132,Small Cap,"DeFi, Derivatives",Ethereum,"['DeFi', 'Derivatives']",['Ethereum'],,['DeFi'],DeFi
ZRX,ZRX-USD,10/12/2018 14:00,7/30/2025 4:00,2483,Legacy,233869266,133,Small Cap,"DeFi, DEX",Ethereum,"['DeFi', 'DEX']",['Ethereum'],,['DeFi'],DeFi
BLUR,KSM-USD,9/17/2020 14:00,8/1/2025 20:00,1780,Established,229430593,134,Small Cap,NFT Marketplace,Ethereum,['NFT Marketplace'],['Ethereum'],,['NFTs & Digital Collectibles'],NFTs & Digital Collectibles
IOTX,00-USD,10/11/2022 17:00,7/30/2025 0:00,1023,Established,215987239,135,Small Cap,"IoT, Blockchain",Independent,"['IoT', 'Blockchain']",['Independent'],,['Layer 1 Blockchains'],Layer 1 Blockchains
TRAC,TRAC-USD,11/2/2021 16:00,7/30/2025 3:00,1366,Established,209345099,136,Small Cap,"Supply Chain, Data",Polkadot,"['Supply Chain', 'Data']",['Polkadot'],,['Infrastructure & Data'],Infrastructure & Data
ZRO,ZRO-USD,6/20/2024 17:00,7/30/2025 4:00,405,New,204185102,137,Small Cap,"Interoperability, Messaging",Ethereum,"['Interoperability', 'Messaging']",['Ethereum'],,['Layer 2 / Scaling'],Layer 2 / Scaling
YFI,YFI-USD,9/15/2020 16:00,7/30/2025 3:00,1779,Established,200625011,138,Small Cap,"DeFi, Yield Aggregator",Ethereum,"['DeFi', 'Yield Aggregator']",['Ethereum'],,['DeFi'],DeFi
AST,AST-USD,6/28/2022 18:00,7/30/2025 0:00,1128,Established,200093966,139,Small Cap,"DeFi, DEX",Ethereum,"['DeFi', 'DEX']",['Ethereum'],,['DeFi'],DeFi
CGLD,CGLD-USD,9/1/2020 16:00,7/30/2025 0:00,1793,Established,199855494,140,Small Cap,"Mobile, Payments",Independent,"['Mobile', 'Payments']",['Independent'],,['Payments & Commerce'],Payments & Commerce
ROSE,ROSE-USD,4/26/2022 16:00,7/30/2025 3:00,1191,Established,197205592,141,Small Cap,"Privacy, Layer-1",Independent,"['Privacy', 'Layer-1']",['Independent'],,"['Layer 1 Blockchains', 'Privacy & Security']","Layer 1 Blockchains, Privacy & Security"
COW,COW-USD,9/24/2024 16:00,7/30/2025 1:00,309,New,196790288,142,Small Cap,"DeFi, DEX",Ethereum,"['DeFi', 'DEX']",['Ethereum'],,['DeFi'],DeFi
SC,SC-USD,10/24/2019 17:00,8/1/2025 20:00,2109,Legacy,192807656,143,Small Cap,Storage,Independent,['Storage'],['Independent'],,['Other / Specialized'],Other / Specialized
DRIFT,DRIFT-USD,5/17/2024 18:00,7/30/2025 1:00,439,New,190030511,144,Small Cap,"Derivatives, DEX",Solana,"['Derivatives', 'DEX']",['Solana'],,['DeFi'],DeFi
ZETACHAIN,ZETACHAIN-USD,9/23/2024 16:00,7/30/2025 4:00,310,New,187367513,145,Small Cap,Interoperability,Independent ,['Interoperability'],['Independent'],,['Layer 2 / Scaling'],Layer 2 / Scaling
VTHO,VTHO-USD,9/13/2023 16:00,7/30/2025 3:00,686,New,182241894,146,Small Cap,"Utility, Gas",VeChainThor,"['Utility', 'Gas']",['VeChainThor'],,['Other / Specialized'],Other / Specialized
OMNI,OMNI-USD,4/17/2024 14:00,7/30/2025 2:00,469,New,180483827,147,Small Cap,"Bridge, Interoperability",Unknown,"['Bridge', 'Interoperability']",['Unknown'],,['Layer 2 / Scaling'],Layer 2 / Scaling
MOODENG,MOODENG-USD,12/4/2024 18:00,7/30/2025 2:00,238,New,177374896,148,Small Cap,"Meme, Community",Solana,"['Meme', 'Community']",['Solana'],,['Meme & Community Tokens'],Meme & Community Tokens
LOKA,LOKA-USD,8/4/2022 16:00,7/30/2025 2:00,1091,Established,175257253,149,Small Cap,"Gaming, Metaverse",Ethereum,"['Gaming', 'Metaverse']",['Ethereum'],,['Gaming & Metaverse'],Gaming & Metaverse
ANKR,ANKR-USD,3/25/2021 16:00,7/30/2025 0:00,1588,Established,175054590,150,Small Cap,"Infrastructure, Staking",Ethereum,"['Infrastructure', 'Staking']",['Ethereum'],,"['DeFi', 'Infrastructure & Data']","DeFi, Infrastructure & Data"
RPL,RPL-USD,12/8/2022 17:00,7/30/2025 3:00,965,Established,173290921,151,Small Cap,"Liquid Staking, Ethereum",Ethereum,"['Liquid Staking', 'Ethereum']",['Ethereum'],,['DeFi'],DeFi
GIGA,GIGA-USD,12/11/2024 17:00,7/30/2025 1:00,231,New,169062829,152,Small Cap,"Meme, Social",Solana,"['Meme', 'Social']",['Solana'],,['Meme & Community Tokens'],Meme & Community Tokens
T,T-USD,1/26/2023 17:00,7/30/2025 3:00,916,Established,167000000,153,Small Cap,"Privacy, Networking",Ethereum,"['Privacy', 'Networking']",['Ethereum'],,['Privacy & Security'],Privacy & Security
ERA,ERA-USD,7/17/2025 19:00,7/30/2025 1:00,13,New,166212237,154,Small Cap,Gaming,BNB Chain,['Gaming'],['BNB Chain'],,['Gaming & Metaverse'],Gaming & Metaverse
STG,STG-USD,7/10/2024 16:00,7/30/2025 2:00,385,New,161576035,155,Small Cap,"DeFi, Cross-Chain",Ethereum,"['DeFi', 'Cross-Chain']",['Ethereum'],,['DeFi'],DeFi
XYO,XYO-USD,9/9/2021 16:00,7/30/2025 4:00,1420,Established,156808629,156,Small Cap,"IoT, Location",Ethereum,"['IoT', 'Location']",['Ethereum'],,['Other / Specialized'],Other / Specialized
MPLX,MPLX-USD,7/24/2025 16:00,7/30/2025 2:00,6,New,147279406,157,Small Cap,"NFT, Infrastructure",Solana,"['NFT', 'Infrastructure']",['Solana'],,"['NFTs & Digital Collectibles', 'Infrastructure & Data']","NFTs & Digital Collectibles, Infrastructure & Data"
ZEN,ZEN-USD,9/16/2021 19:00,7/30/2025 3:00,1413,Established,146514964,158,Small Cap,"Privacy, Sidechains",Independent,"['Privacy', 'Sidechains']",['Independent'],,"['Layer 2 / Scaling', 'Privacy & Security']","Layer 2 / Scaling, Privacy & Security"
SUSHI,SUSHI-USD,3/11/2021 17:00,7/30/2025 3:00,1602,Established,146130024,159,Small Cap,"DeFi, DEX",Ethereum,"['DeFi', 'DEX']",['Ethereum'],,['DeFi'],DeFi
ME,ME-USD,12/10/2024 22:00,7/30/2025 1:00,232,New,143224174,160,Small Cap,NFT Marketplace,Solana,['NFT Marketplace'],['Solana'],,['NFTs & Digital Collectibles'],NFTs & Digital Collectibles
ORCA,ORCA-USD,2/1/2022 18:00,7/30/2025 2:00,1275,Established,142913958,161,Small Cap,"DEX, AMM",Solana,"['DEX', 'AMM']",['Solana'],,['DeFi'],DeFi
GMT,GMT-USD,4/28/2022 16:00,7/30/2025 1:00,1189,Established,142747004,162,Small Cap,"Move-to-Earn, Fitness",Solana,"['Move-to-Earn', 'Fitness']",['Solana'],,['Gaming & Metaverse'],Gaming & Metaverse
SQD,SQD-USD,6/12/2025 16:00,7/30/2025 3:00,48,New,141684880,163,Small Cap,"Data Infrastructure, Indexing","Multi Chain, Polkadot, Ethereum, Cosmos","['Data Infrastructure', 'Indexing']","['Multi Chain', 'Polkadot', 'Ethereum', 'Cosmos']",,['Infrastructure & Data'],Infrastructure & Data
ALT,ALT-USD,3/27/2025 16:00,7/30/2025 0:00,125,New,140080659,164,Small Cap,"Layer-2, Scaling",Ethereum,"['Layer-2', 'Scaling']",['Ethereum'],,['Layer 2 / Scaling'],Layer 2 / Scaling
MASK,MASK-USD,7/15/2021 20:00,7/30/2025 2:00,1476,Established,139499110,165,Small Cap,"Social, Web3",Ethereum,"['Social', 'Web3']",['Ethereum'],,['Other / Specialized'],Other / Specialized
SKL,SKL-USD,3/11/2021 17:00,7/30/2025 3:00,1602,Established,137902411,166,Small Cap,"Scaling, Sidechain",Ethereum,"['Scaling', 'Sidechain']",['Ethereum'],,['Layer 2 / Scaling'],Layer 2 / Scaling
ICX,ICX-USD,10/24/2019 21:00,8/1/2025 20:00,2108,Legacy,136370417,167,Small Cap,Interoperability,Independent,['Interoperability'],['Independent'],,['Layer 2 / Scaling'],Layer 2 / Scaling
BLAST,BLAST-USD,6/26/2024 19:00,7/30/2025 0:00,399,New,134629135,168,Small Cap,"Layer?2, Scaling",Ethereum,"['Layer?2', 'Scaling']",['Ethereum'],,['Layer 2 / Scaling'],Layer 2 / Scaling
ILV,ILV-USD,10/13/2022 16:00,7/30/2025 2:00,1021,Established,134249741,169,Small Cap,"Gaming, NFT",Ethereum,"['Gaming', 'NFT']",['Ethereum'],,"['NFTs & Digital Collectibles', 'Gaming & Metaverse']","NFTs & Digital Collectibles, Gaming & Metaverse"
FAI,FAI-USD,3/27/2025 16:00,7/30/2025 1:00,125,New,131866028,170,Small Cap,"AI, Infrastructure",Independent,"['AI', 'Infrastructure']",['Independent'],,"['Infrastructure & Data', 'AI & Big Data']","Infrastructure & Data, AI & Big Data"
COTI,COTI-USD,8/26/2021 22:00,7/30/2025 1:00,1434,Established,130926323,171,Small Cap,"Payments, Fintech",DAG,"['Payments', 'Fintech']",['DAG'],,['Payments & Commerce'],Payments & Commerce
ALEO,ALEO-USD,9/18/2024 20:00,7/30/2025 0:00,315,New,130125055,172,Small Cap,"Privacy, ZK",Independent,"['Privacy', 'ZK']",['Independent'],,['Privacy & Security'],Privacy & Security
OSMO,OSMO-USD,5/25/2023 16:00,7/30/2025 2:00,797,Established,128777225,173,Small Cap,"DEX, AMM",Cosmos,"['DEX', 'AMM']",['Cosmos'],,['DeFi'],DeFi
PRIME,PRIME-USD,3/1/2023 19:00,7/30/2025 3:00,882,Established,123803440,174,Small Cap,"Gaming, Collectibles",Ethereum,"['Gaming', 'Collectibles']",['Ethereum'],,"['NFTs & Digital Collectibles', 'Gaming & Metaverse']","NFTs & Digital Collectibles, Gaming & Metaverse"
LCX,LCX-USD,11/2/2021 16:00,7/30/2025 2:00,1366,Established,123108748,175,Small Cap,"Exchange, Compliance",Ethereum,"['Exchange', 'Compliance']",['Ethereum'],,['Privacy & Security'],Privacy & Security
BIGTIME,BIGTIME-USD,10/12/2023 1:00,7/30/2025 0:00,657,New,121395812,176,Small Cap,"Gaming, Metaverse",Ethereum,"['Gaming', 'Metaverse']",['Ethereum'],,['Gaming & Metaverse'],Gaming & Metaverse
WELL,WELL-USD,9/25/2024 16:00,7/30/2025 3:00,308,New,117734130,177,Small Cap,"DeFi, Lending",Polkadot,"['DeFi', 'Lending']",['Polkadot'],,['DeFi'],DeFi
TRB,TRB-USD,5/6/2021 16:00,7/30/2025 3:00,1546,Established,114565854,178,Small Cap,"Oracle, DeFi",Ethereum,"['Oracle', 'DeFi']",['Ethereum'],,"['DeFi', 'Infrastructure & Data']","DeFi, Infrastructure & Data"
SWFTC,SWFTC-USD,7/21/2022 16:00,7/30/2025 3:00,1105,Established,114481741,179,Small Cap,"Payments, Exchange",Ethereum,"['Payments', 'Exchange']",['Ethereum'],,['Payments & Commerce'],Payments & Commerce
LRC,LRC-USD,9/15/2020 16:00,7/30/2025 2:00,1779,Established,114139287,180,Small Cap,"DEX, Layer-2",Ethereum,"['DEX', 'Layer-2']",['Ethereum'],,"['Layer 2 / Scaling', 'DeFi']","Layer 2 / Scaling, DeFi"
ACH,ACH-USD,8/3/2021 16:00,7/30/2025 0:00,1457,Established,113749896,181,Small Cap,Independent (Gaming ecosystem),Ethereum,['Independent (Gaming ecosystem)'],['Ethereum'],,['Gaming & Metaverse'],Gaming & Metaverse
IO,IO-USD,10/9/2024 16:00,7/30/2025 2:00,294,New,113693260,182,Small Cap,AI Infrastructure,Independent,['AI Infrastructure'],['Independent'],,"['Infrastructure & Data', 'AI & Big Data']","Infrastructure & Data, AI & Big Data"
BAND,BAND-USD,8/11/2020 16:00,7/30/2025 0:00,1814,Established,111348892,183,Small Cap,Oracle,Cosmos,['Oracle'],['Cosmos'],,['Infrastructure & Data'],Infrastructure & Data
SPK,SPK-USD,6/17/2025 20:00,7/30/2025 3:00,43,New,109583928,184,Small Cap,"DeFi, DAO","Multi Chain, Ethereum, MakerDAO","['DeFi', 'DAO']","['Multi Chain', 'Ethereum', 'MakerDAO']",,['DeFi'],DeFi
UMA,UMA-USD,9/8/2020 16:00,7/30/2025 3:00,1786,Established,108545572,185,Small Cap,"DeFi, Derivatives",Ethereum,"['DeFi', 'Derivatives']",['Ethereum'],,['DeFi'],DeFi
BICO,BICO-USD,12/1/2021 19:00,7/30/2025 0:00,1337,Established,108353022,186,Small Cap,"Infrastructure, Relayer",Ethereum,"['Infrastructure', 'Relayer']",['Ethereum'],,"['Layer 2 / Scaling', 'Infrastructure & Data']","Layer 2 / Scaling, Infrastructure & Data"
METIS,METIS-USD,6/28/2022 19:00,7/30/2025 2:00,1128,Established,106645070,187,Small Cap,"Layer-2, DAO",Ethereum,"['Layer-2', 'DAO']",['Ethereum'],,['Layer 2 / Scaling'],Layer 2 / Scaling
ACX,ACX-USD,8/21/2024 16:00,7/30/2025 0:00,343,New,105988604,188,Small Cap,"Cross-Chain, Bridge",Ethereum,"['Cross-Chain', 'Bridge']",['Ethereum'],,['Layer 2 / Scaling'],Layer 2 / Scaling
REQ,REQ-USD,8/12/2021 19:00,7/30/2025 2:00,1448,Established,105567914,189,Small Cap,"Payments, Invoicing",Ethereum,"['Payments', 'Invoicing']",['Ethereum'],,['Payments & Commerce'],Payments & Commerce
FIDA,FIDA-USD,2/1/2022 18:00,7/30/2025 1:00,1275,Established,105448397,190,Small Cap,"Solana, DEX/NFT",Solana,"['Solana', 'DEX/NFT']",['Solana'],,"['DeFi', 'NFTs & Digital Collectibles']","DeFi, NFTs & Digital Collectibles"
LQTY,LQTY-USD,1/13/2022 18:00,7/30/2025 2:00,1294,Established,102828776,191,Small Cap,"DeFi, Lending",Ethereum,"['DeFi', 'Lending']",['Ethereum'],,['DeFi'],DeFi
RED,RED-USD,3/12/2025 16:00,7/30/2025 3:00,140,New,102495637,192,Small Cap,"Identity, Social",Ethereum,"['Identity', 'Social']",['Ethereum'],,['Privacy & Security'],Privacy & Security
POWR,POWR-USD,11/16/2021 17:00,7/30/2025 2:00,1352,Established,98170477,193,Small Cap,"Energy, IoT",Ethereum,"['Energy', 'IoT']",['Ethereum'],,['Other / Specialized'],Other / Specialized
VVV,VVV-USD,1/28/2025 0:00,7/30/2025 3:00,184,New,97565532,194,Small Cap,Unknown,Unknown,['Unknown'],['Unknown'],,['Other / Specialized'],Other / Specialized
HOME,HOME-USD,6/10/2025 19:00,7/30/2025 2:00,50,New,96724749,195,Small Cap,"Stablecoin, Real?World Asset",Independent,"['Stablecoin', 'Real?World Asset']",['Independent'],,['Stablecoins'],Stablecoins
DIA,DIA-USD,1/25/2022 18:00,7/30/2025 1:00,1282,Established,96170780,196,Small Cap,"Oracle, Data",Ethereum,"['Oracle', 'Data']",['Ethereum'],,['Infrastructure & Data'],Infrastructure & Data
COOKIE,COOKIE-USD,3/11/2025 16:00,7/30/2025 1:00,141,New,94404533,197,Small Cap,Meme/Community,Unknown,['Meme/Community'],['Unknown'],,['Meme & Community Tokens'],Meme & Community Tokens
HONEY,HONEY-USD,1/17/2024 17:00,7/30/2025 2:00,560,New,92379665,198,Small Cap,"DeFi, DEX",Gnosis ,"['DeFi', 'DEX']",['Gnosis'],,['DeFi'],DeFi
API3,API3-USD,12/9/2021 17:00,7/30/2025 0:00,1329,Established,92046093,199,Small Cap,"Oracle, API",Ethereum,"['Oracle', 'API']",['Ethereum'],,['Infrastructure & Data'],Infrastructure & Data
SGB,SGB-USD,2/22/2022 19:00,8/1/2025 20:00,1257,Established,92042401,200,Small Cap,Canary Network,Independent,['Canary Network'],['Independent'],,['Other / Specialized'],Other / Specialized
PRO,PRO-USD,1/13/2022 18:00,7/30/2025 3:00,1294,Established,91000000,201,Small Cap,"Real Estate, NFTs",Ethereum,"['Real Estate', 'NFTs']",['Ethereum'],,['NFTs & Digital Collectibles'],NFTs & Digital Collectibles
DEGEN,DEGEN-USD,10/15/2024 16:00,7/30/2025 1:00,288,New,89572021,202,Small Cap,"Index, NFT",Ethereum,"['Index', 'NFT']",['Ethereum'],,"['NFTs & Digital Collectibles', 'Infrastructure & Data']","NFTs & Digital Collectibles, Infrastructure & Data"
SPELL,SPELL-USD,12/7/2021 17:00,7/30/2025 3:00,1331,Established,88893957,203,Small Cap,"DeFi, Lending",Ethereum,"['DeFi', 'Lending']",['Ethereum'],,['DeFi'],DeFi
B3,B3-USD,2/10/2025 23:00,7/30/2025 0:00,170,New,88737732,204,Small Cap,"Gaming, Layer?3",Base,"['Gaming', 'Layer?3']",['Base'],,['Gaming & Metaverse'],Gaming & Metaverse
TREE,TREE-USD,7/29/2025 20:00,7/30/2025 3:00,1,New,85408061,205,Small Cap,"Social Impact, Reforestation",Unknown,"['Social Impact', 'Reforestation']",['Unknown'],,['Other / Specialized'],Other / Specialized
AUDIO,AUDIO-USD,1/26/2023 17:00,7/30/2025 0:00,916,Established,85208950,206,Small Cap,"Music, Streaming",Ethereum,"['Music', 'Streaming']",['Ethereum'],,['Other / Specialized'],Other / Specialized
PUNDIX,PUNDIX-USD,9/20/2022 16:00,7/30/2025 2:00,1044,Established,85067767,207,Small Cap,"Payments, POS",Ethereum,"['Payments', 'POS']",['Ethereum'],,['Payments & Commerce'],Payments & Commerce
ASM,ASM-USD,10/21/2021 16:00,7/30/2025 0:00,1378,Established,83668675,208,Small Cap,"Loyalty, Data",Ethereum,"['Loyalty', 'Data']",['Ethereum'],,"['Infrastructure & Data', 'Payments & Commerce']","Infrastructure & Data, Payments & Commerce"
CVC,CVC-USD,11/3/2021 19:00,7/30/2025 1:00,1365,Established,83413305,209,Small Cap,Identity,Ethereum,['Identity'],['Ethereum'],,['Privacy & Security'],Privacy & Security
NEWT,NEWT-USD,6/24/2025 19:00,7/30/2025 2:00,36,New,81173693,210,Small Cap,Unknown,Unknown,['Unknown'],['Unknown'],,['Other / Specialized'],Other / Specialized
RLC,RLC-USD,5/6/2021 16:00,7/30/2025 3:00,1546,Established,81057958,211,Small Cap,"Cloud, Computing",Ethereum,"['Cloud', 'Computing']",['Ethereum'],,['AI & Big Data'],AI & Big Data
LSK,LSK-USD,11/20/2019 9:00,8/1/2025 20:00,2082,Legacy,80079998,212,Small Cap,"Platform, SDK",Independent,"['Platform', 'SDK']",['Independent'],,['Infrastructure & Data'],Infrastructure & Data
BAL,BAL-USD,10/6/2020 16:00,7/30/2025 0:00,1758,Established,79458389,213,Small Cap,"DeFi, DEX",Ethereum,"['DeFi', 'DEX']",['Ethereum'],,['DeFi'],DeFi
KNC,KNC-USD,2/25/2020 17:00,7/30/2025 2:00,1982,Legacy,76541845,214,Small Cap,"DeFi, Liquidity",Ethereum,"['DeFi', 'Liquidity']",['Ethereum'],,['DeFi'],DeFi
AUCTION,AUCTION-USD,10/19/2021 16:00,7/30/2025 0:00,1380,Established,71148446,215,Small Cap,"Auctions, Launchpad",Ethereum,"['Auctions', 'Launchpad']",['Ethereum'],,['Other / Specialized'],Other / Specialized
PAX,PAX-USD,7/27/2021 18:00,7/29/2025 21:00,1464,Established,69908728,216,Small Cap,Stablecoin,Ethereum,['Stablecoin'],['Ethereum'],,['Stablecoins'],Stablecoins
LA,LA-USD,6/4/2025 19:00,7/30/2025 2:00,56,New,69443525,217,Small Cap,Exchange,Ethereum,['Exchange'],['Ethereum'],,['Other / Specialized'],Other / Specialized
POND,POND-USD,6/16/2022 16:00,7/30/2025 1:00,1140,Established,69359267,218,Small Cap,"Networking, Web3",Ethereum,"['Networking', 'Web3']",['Ethereum'],,['Other / Specialized'],Other / Specialized
NMR,NMR-USD,8/18/2020 16:00,7/30/2025 2:00,1807,Established,68305613,219,Small Cap,"AI, Prediction",Ethereum,"['AI', 'Prediction']",['Ethereum'],,['AI & Big Data'],AI & Big Data
AGLD,AGLD-USD,9/21/2021 16:00,7/30/2025 0:00,1408,Established,65668816,220,Small Cap,"Gaming, NFT",Ethereum,"['Gaming', 'NFT']",['Ethereum'],,"['NFTs & Digital Collectibles', 'Gaming & Metaverse']","NFTs & Digital Collectibles, Gaming & Metaverse"
CTSI,CTSI-USD,5/6/2021 16:00,7/30/2025 1:00,1546,Established,64790904,221,Small Cap,"Layer-2, VM",Ethereum,"['Layer-2', 'VM']",['Ethereum'],,['Layer 2 / Scaling'],Layer 2 / Scaling
WCFG,WCFG-USD,10/7/2021 19:00,7/30/2025 3:00,1392,Established,64610775,222,Small Cap,Real-World Assets,"Multi Chain, Ethereum, Polkadot",['Real-World Assets'],"['Multi Chain', 'Ethereum', 'Polkadot']",,['Other / Specialized'],Other / Specialized
GFI,GFI-USD,1/11/2022 20:00,7/30/2025 1:00,1296,Established,62619471,223,Small Cap,"DeFi, Lending",Ethereum,"['DeFi', 'Lending']",['Ethereum'],,['DeFi'],DeFi
GODS,GODS-USD,12/9/2021 17:00,7/30/2025 1:00,1329,Established,59951757,224,Small Cap,"Gaming, NFT",Ethereum ,"['Gaming', 'NFT']",['Ethereum'],,"['NFTs & Digital Collectibles', 'Gaming & Metaverse']","NFTs & Digital Collectibles, Gaming & Metaverse"
OCEAN,OCEAN-USD,9/8/2022 16:00,7/30/2025 2:00,1056,Established,59729549,225,Small Cap,"Data Sharing, AI",Ethereum,"['Data Sharing', 'AI']",['Ethereum'],,"['Infrastructure & Data', 'AI & Big Data']","Infrastructure & Data, AI & Big Data"
AERGO,AERGO-USD,3/8/2022 22:00,7/30/2025 0:00,1240,Established,58281351,226,Small Cap,"Enterprise, Hybrid Blockchain",Independent,"['Enterprise', 'Hybrid Blockchain']",['Independent'],,['Other / Specialized'],Other / Specialized
BTRST,BTRST-USD,9/15/2021 18:00,7/29/2025 22:00,1414,Established,57341943,227,Small Cap,"Talent, Marketplace",Ethereum,"['Talent', 'Marketplace']",['Ethereum'],,['Other / Specialized'],Other / Specialized
QI,QI-USD,11/23/2022 17:00,7/30/2025 3:00,980,Established,53454473,228,Small Cap,"DeFi, Lending",Avalanche,"['DeFi', 'Lending']",['Avalanche'],,['DeFi'],DeFi
G,G-USD,8/13/2024 16:00,7/30/2025 1:00,351,New,53351240,229,Small Cap,"Layer?1, Ecosystem",Gravity,"['Layer?1', 'Ecosystem']",['Gravity'],,['Other / Specialized'],Other / Specialized
C98,C98-USD,6/7/2022 16:00,7/30/2025 0:00,1149,Established,52464450,230,Small Cap,"DeFi, Wallet","Multi Chain, Ethereum, BNB Chain, Solana","['DeFi', 'Wallet']","['Multi Chain', 'Ethereum', 'BNB Chain', 'Solana']",,['DeFi'],DeFi
ACS,ACS-USD,2/15/2023 17:00,7/30/2025 0:00,896,Established,50268153,231,Small Cap,"Content, Subscription",Solana,"['Content', 'Subscription']",['Solana'],,['Payments & Commerce'],Payments & Commerce
HIGH,HIGH-USD,3/8/2022 22:00,7/30/2025 2:00,1240,Established,50000000,232,Small Cap,"Metaverse, Commerce",Ethereum,"['Metaverse', 'Commerce']",['Ethereum'],,"['Gaming & Metaverse', 'Payments & Commerce']","Gaming & Metaverse, Payments & Commerce"
AURORA,AURORA-USD,9/6/2022 16:00,7/30/2025 0:00,1058,Established,48332981,233,Small Cap,"EVM, NEAR",NEAR Protocol,"['EVM', 'NEAR']",['NEAR Protocol'],,['Other / Specialized'],Other / Specialized
SD,SD-USD,7/30/2024 17:00,7/30/2025 3:00,365,New,47662160,234,Small Cap,"Staking, DeFi",Multi-chain ,"['Staking', 'DeFi']",['Multi-chain'],,['DeFi'],DeFi
MAGIC,MAGIC-USD,12/8/2022 17:00,7/30/2025 2:00,965,Established,47534477,235,Small Cap,"Gaming, NFT",Arbitrum,"['Gaming', 'NFT']",['Arbitrum'],,"['NFTs & Digital Collectibles', 'Gaming & Metaverse']","NFTs & Digital Collectibles, Gaming & Metaverse"
